P04;P50;P51;P52;P54;P55;P56;P57;P58;P59;P60;P61;P62;P63;V02;V03;V08;V27;VD_EDUCACAO;VD_REGIAO;VD_IDADE;P64
14;-1.0;-1.0;-1.0;-1.0;1;2;97;2;2;2;2;3;1;2;3;2;2;3;1;3;2
27;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;1;1;1;2;2;4;1;1;2;4;1
12;2.0;2.0;1.0;1.0;1;2;1;2;2;2;2;2;1;1;1;2;2;4;1;2;3
13;1.0;1.0;1.0;1.0;97;2;1;2;1;97;2;97;3;1;3;2;97;2;1;3;2
13;1.0;1.0;1.0;1.0;1;2;1;1;1;2;1;3;1;1;3;1;97;4;1;4;1
13;2.0;2.0;1.0;3.0;1;2;1;2;1;97;2;2;2;2;3;2;1;3;1;3;2
51;4.0;1.0;1.0;1.0;1;2;1;1;1;2;1;2;2;2;3;1;97;2;5;3;2
35;2.0;2.0;1.0;1.0;1;2;1;1;2;2;1;2;1;2;3;1;1;3;3;3;3
25;7.0;1.0;2.0;1.0;97;2;2;2;97;97;97;2;1;2;1;2;97;3;2;4;2
35;4.0;1.0;2.0;1.0;2;2;2;2;1;1;2;3;1;2;2;4;3;3;3;2;2
42;97.0;97.0;1.0;2.0;1;2;2;2;2;2;1;2;1;2;1;1;3;4;4;2;3
42;2.0;2.0;2.0;1.0;2;2;2;1;2;2;1;1;1;2;5;1;3;4;4;5;3
13;97.0;1.0;2.0;3.0;2;2;2;2;97;1;2;2;97;2;3;2;1;2;1;5;2
42;2.0;2.0;1.0;1.0;1;2;2;1;1;2;1;2;1;1;3;2;1;3;4;1;3
51;3.0;1.0;2.0;2.0;2;2;2;2;1;1;2;2;1;2;1;3;3;4;5;3;2
12;-1.0;-1.0;-1.0;-1.0;1;2;1;1;2;2;1;2;1;2;3;2;1;3;1;3;3
25;1.0;1.0;1.0;1.0;1;2;2;2;1;1;1;3;1;2;3;1;1;4;2;2;3
42;4.0;1.0;2.0;3.0;2;2;2;2;1;1;2;3;1;1;1;2;2;4;4;1;2
12;1.0;1.0;1.0;1.0;1;2;1;2;1;1;2;3;1;1;3;2;2;4;1;1;1
51;1.0;2.0;1.0;1.0;1;2;2;1;97;2;1;2;1;2;3;1;2;3;5;3;3
25;2.0;2.0;1.0;1.0;1;2;1;1;2;2;1;1;1;2;1;1;1;2;2;4;1
35;-1.0;-1.0;-1.0;-1.0;1;2;97;97;1;97;1;2;1;2;2;1;2;3;3;4;2
51;4.0;2.0;2.0;2.0;1;2;2;97;2;1;2;2;1;2;1;2;1;3;5;3;2
27;-1.0;-1.0;-1.0;-1.0;1;2;1;2;1;2;1;1;1;2;3;1;1;1;2;3;1
13;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;1;1;1;1;3;2;1;2;1;4;1
25;-1.0;-1.0;-1.0;-1.0;1;97;1;2;1;2;1;1;1;1;3;1;1;1;2;3;3
12;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;2;2;3;1;1;1;2;1;2;1;5;2
13;-1.0;-1.0;-1.0;-1.0;1;2;1;1;2;1;1;3;1;1;3;2;1;1;1;3;2
51;1.0;1.0;1.0;1.0;1;2;2;2;2;2;2;3;1;2;3;1;1;1;5;4;2
13;2.0;2.0;1.0;1.0;1;2;1;1;1;2;2;1;1;1;1;1;2;4;1;2;2
51;1.0;2.0;1.0;1.0;1;2;2;1;1;1;1;2;2;2;2;1;1;1;5;5;2
25;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;2;2;2;97;2;3;1;1;3;2;1;2
42;-1.0;-1.0;-1.0;-1.0;1;2;2;2;1;1;2;3;1;2;2;4;3;2;4;2;2
25;1.0;2.0;2.0;1.0;2;2;2;2;1;1;2;3;1;2;5;1;1;3;2;2;2
35;1.0;1.0;2.0;2.0;2;2;2;2;1;1;2;3;1;2;3;2;2;4;3;4;2
12;1.0;1.0;1.0;1.0;1;2;1;2;1;1;1;2;1;1;3;5;2;4;1;1;1
25;2.0;2.0;1.0;1.0;2;1;1;1;2;2;1;2;1;2;1;5;2;4;2;2;1
14;7.0;1.0;1.0;1.0;2;2;2;2;2;1;2;3;1;1;3;99;1;4;1;4;2
13;1.0;1.0;1.0;1.0;1;2;2;1;1;1;1;2;1;1;3;3;2;3;1;1;1
27;1.0;2.0;1.0;1.0;1;2;2;2;2;2;2;2;1;2;3;2;1;3;2;5;3
35;1.0;1.0;2.0;97.0;1;2;1;1;1;1;1;2;97;1;1;2;97;4;3;2;2
25;1.0;1.0;1.0;1.0;1;2;2;1;1;2;2;2;1;2;3;1;1;1;2;2;3
42;-1.0;-1.0;-1.0;-1.0;2;2;1;2;1;1;1;3;1;2;1;1;97;1;4;4;2
25;-1.0;-1.0;-1.0;-1.0;1;1;1;2;2;2;1;2;2;1;3;1;1;1;2;5;2
35;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;1;2;1;1;3;1;2;4;3;1;1
42;-1.0;-1.0;-1.0;-1.0;2;2;1;2;1;1;2;3;1;2;1;2;3;1;4;5;2
51;3.0;1.0;1.0;2.0;1;2;2;2;1;2;2;2;1;1;1;2;3;4;5;1;2
12;2.0;1.0;1.0;1.0;1;2;1;2;2;2;1;2;1;1;1;1;2;4;1;4;1
51;2.0;1.0;1.0;1.0;1;2;1;2;2;2;1;1;1;1;3;1;2;4;5;4;1
25;4.0;1.0;1.0;1.0;1;1;1;1;2;2;1;1;1;2;1;2;2;4;2;1;1
35;-1.0;-1.0;-1.0;-1.0;1;1;1;2;2;1;1;3;3;2;3;4;1;1;3;1;2
42;-1.0;-1.0;-1.0;-1.0;1;2;97;2;1;1;2;3;2;1;1;1;1;4;4;2;2
27;2.0;1.0;1.0;1.0;1;2;1;1;1;2;2;2;2;2;3;2;1;1;2;4;1
51;-1.0;-1.0;-1.0;-1.0;2;2;2;2;2;1;2;2;1;2;1;1;2;4;5;3;2
27;1.0;2.0;1.0;1.0;1;2;1;2;2;1;2;2;1;1;1;3;2;4;2;5;2
42;2.0;1.0;2.0;1.0;2;2;1;2;1;1;2;3;97;2;1;2;1;2;4;4;2
25;-1.0;-1.0;-1.0;-1.0;1;2;2;97;1;1;2;3;2;2;5;2;1;1;2;2;2
14;2.0;2.0;1.0;1.0;1;2;1;2;1;1;2;3;1;1;3;1;1;2;1;3;1
25;3.0;1.0;1.0;1.0;1;1;1;1;2;2;1;2;1;1;1;1;2;4;2;2;1
27;-1.0;-1.0;-1.0;-1.0;2;2;1;2;1;1;1;2;1;2;3;1;1;3;2;1;2
25;7.0;1.0;1.0;2.0;2;2;2;2;1;1;1;2;1;2;3;5;2;4;2;2;3
14;-1.0;-1.0;-1.0;-1.0;1;2;2;2;1;1;1;2;3;1;3;2;1;3;1;2;3
12;2.0;2.0;1.0;1.0;1;2;1;2;2;1;1;1;1;2;2;1;1;3;1;3;2
51;2.0;1.0;1.0;2.0;1;1;1;2;1;1;2;2;3;2;3;1;2;3;5;1;1
12;1.0;2.0;1.0;1.0;1;1;1;1;2;2;1;2;1;2;2;5;3;3;1;2;1
51;1.0;2.0;1.0;1.0;2;2;1;2;2;2;1;2;1;2;1;1;1;4;5;1;2
14;1.0;1.0;2.0;1.0;2;2;1;2;1;1;2;3;1;2;3;2;97;4;1;2;2
27;2.0;1.0;1.0;1.0;1;1;1;1;2;1;1;97;1;1;3;1;2;4;2;4;1
12;97.0;2.0;1.0;1.0;1;2;1;2;1;1;97;2;97;2;3;99;1;2;1;5;1
42;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;1;2;3;1;1;1;2;1;2;4;4;2
27;3.0;1.0;1.0;1.0;1;2;2;2;2;2;97;1;1;1;3;2;1;4;2;2;2
51;4.0;97.0;1.0;1.0;1;1;1;1;1;2;2;1;1;2;1;5;97;4;5;2;1
14;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;1;2;3;1;2;3;1;2;4;1;3;3
35;-1.0;-1.0;-1.0;-1.0;1;2;1;2;97;2;1;1;1;2;97;1;1;1;3;5;2
42;-1.0;-1.0;-1.0;-1.0;1;2;1;2;1;2;2;2;1;1;1;1;2;3;4;3;2
12;2.0;97.0;1.0;1.0;1;1;1;1;1;2;1;1;1;1;3;3;2;3;1;5;1
27;1.0;1.0;1.0;1.0;1;2;2;2;2;2;2;3;1;1;3;2;1;2;2;5;2
51;2.0;1.0;1.0;1.0;1;2;1;97;97;1;1;1;1;2;3;1;2;2;5;3;1
14;3.0;1.0;1.0;1.0;1;2;1;2;1;1;1;2;2;1;3;3;2;4;1;1;2
42;2.0;1.0;1.0;1.0;1;2;2;1;1;1;2;2;1;2;1;1;2;3;4;3;2
35;4.0;1.0;1.0;1.0;1;1;1;1;2;2;1;2;1;1;5;5;3;4;3;5;1
14;1.0;2.0;2.0;1.0;2;2;1;1;2;2;1;3;1;2;1;2;1;2;1;4;2
27;-1.0;-1.0;-1.0;-1.0;1;2;1;2;1;1;2;2;1;1;1;2;1;4;2;3;2
27;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;1;1;1;2;1;1;1;1;2;4;2
51;1.0;2.0;1.0;1.0;1;2;2;2;2;2;2;1;2;1;3;1;1;2;5;2;3
35;1.0;1.0;1.0;1.0;2;2;2;1;1;2;2;3;2;2;3;1;2;3;3;5;3
13;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;1;2;2;2;3;2;2;2;1;4;3
13;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;1;2;2;1;1;4;2;97;3;1;1;2
13;2.0;2.0;1.0;1.0;2;1;2;1;2;2;1;1;1;2;1;5;1;3;1;2;3
13;2.0;1.0;1.0;2.0;1;2;2;2;1;1;2;3;1;2;3;2;97;3;1;4;2
14;1.0;2.0;1.0;1.0;1;2;1;2;1;1;1;2;1;2;2;1;1;1;1;3;3
25;4.0;1.0;1.0;1.0;1;2;2;2;1;2;2;3;1;2;3;4;2;4;2;2;2
35;2.0;1.0;1.0;1.0;1;2;2;2;1;1;2;3;1;2;1;3;3;2;3;3;2
27;-1.0;-1.0;-1.0;-1.0;1;2;1;97;2;2;1;1;1;2;1;1;1;1;2;5;1
13;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;1;2;1;2;1;2;2;1;1;2;2
25;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;1;1;2;1;2;3;2;2;2;2;2;2
14;2.0;1.0;2.0;2.0;1;1;1;97;1;2;1;1;1;2;1;5;3;3;1;3;2
42;2.0;2.0;1.0;2.0;1;2;2;1;1;2;1;2;3;1;1;1;2;1;4;3;1
35;1.0;1.0;1.0;1.0;1;2;2;2;1;2;1;2;1;1;1;4;2;4;3;3;3
27;-1.0;-1.0;-1.0;-1.0;1;2;2;1;2;2;2;3;3;2;4;5;1;2;2;1;2
35;2.0;1.0;1.0;1.0;1;1;1;2;1;1;2;2;2;2;2;5;2;3;3;1;1
14;-1.0;-1.0;-1.0;-1.0;1;2;97;2;2;2;97;97;97;1;5;1;1;1;1;5;2
51;2.0;1.0;1.0;1.0;2;2;1;2;2;2;1;1;1;1;3;2;3;4;5;2;1
35;1.0;2.0;1.0;1.0;1;2;1;2;1;2;1;3;1;2;1;1;2;2;3;4;2
25;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;2;2;2;1;2;3;2;2;3;2;3;2
51;2.0;1.0;2.0;2.0;1;2;1;2;2;1;2;2;1;2;1;4;2;4;5;1;2
51;-1.0;-1.0;-1.0;-1.0;1;2;1;97;1;2;2;2;1;1;1;2;2;4;5;1;2
13;2.0;1.0;1.0;1.0;1;2;1;2;1;2;2;2;2;2;1;2;1;4;1;2;3
12;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;2;2;2;1;1;3;2;1;2;1;3;2
35;3.0;1.0;1.0;1.0;2;2;2;2;2;2;1;2;1;1;1;1;3;4;3;5;1
25;1.0;2.0;1.0;1.0;1;1;1;1;1;1;1;2;97;1;3;3;1;4;2;1;3
25;2.0;1.0;1.0;1.0;1;1;1;1;2;2;1;2;1;2;3;2;1;3;2;4;1
25;-1.0;-1.0;-1.0;-1.0;1;2;1;2;1;1;2;3;2;2;3;5;2;3;2;1;2
25;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;1;2;1;2;3;1;1;1;2;4;3
12;2.0;1.0;1.0;1.0;1;2;1;2;1;2;1;1;1;2;2;1;2;1;1;4;3
43;-1.0;-1.0;-1.0;-1.0;1;2;1;97;1;2;1;2;1;2;2;1;3;3;4;2;3
27;-1.0;-1.0;-1.0;-1.0;1;2;1;1;2;2;1;1;1;1;3;1;3;4;2;2;1
12;7.0;1.0;2.0;1.0;2;2;2;1;1;2;2;3;3;2;4;1;3;4;1;5;3
13;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;1;2;3;1;1;3;2;2;3;1;3;2
25;3.0;2.0;1.0;1.0;1;2;1;1;1;2;1;2;1;2;1;1;3;4;2;5;2
25;1.0;2.0;2.0;1.0;1;2;2;2;1;1;2;2;2;2;97;2;1;3;2;3;2
22;2.0;1.0;1.0;1.0;2;1;1;1;1;2;1;1;1;2;3;1;2;1;2;3;3
13;2.0;2.0;1.0;3.0;2;2;1;2;1;2;1;2;1;2;3;2;1;1;1;2;3
27;1.0;1.0;1.0;1.0;1;2;1;2;1;2;1;2;1;2;3;1;2;4;2;2;3
51;7.0;2.0;2.0;1.0;1;1;1;1;1;1;2;2;1;1;1;5;2;3;5;2;2
42;4.0;1.0;1.0;1.0;1;1;1;1;2;2;1;1;1;2;1;3;3;4;4;2;1
14;1.0;1.0;1.0;1.0;1;2;1;2;1;2;2;2;1;1;3;2;2;3;1;3;2
25;7.0;1.0;1.0;1.0;1;1;2;97;2;2;1;2;1;2;1;1;2;4;2;3;1
27;4.0;1.0;1.0;1.0;1;1;1;1;2;2;1;1;1;2;1;5;3;4;2;3;1
14;2.0;1.0;1.0;1.0;1;2;97;2;97;2;1;1;1;2;97;2;1;1;1;4;2
14;4.0;2.0;1.0;1.0;1;2;1;1;2;1;1;1;3;2;1;5;1;4;1;1;3
27;-1.0;-1.0;-1.0;-1.0;1;2;2;2;1;2;1;97;97;2;1;2;1;1;2;2;1
12;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;2;1;2;1;1;2;2;2;3;1;5;1
42;2.0;1.0;1.0;1.0;1;2;2;1;1;1;2;2;2;2;5;1;2;3;4;3;2
12;1.0;1.0;2.0;2.0;1;2;1;2;1;1;1;1;1;2;3;2;2;4;1;1;2
27;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;2;2;2;1;1;1;3;4;2;3;2
12;1.0;97.0;1.0;1.0;1;2;1;1;1;2;1;2;1;1;1;5;3;4;1;1;3
14;4.0;1.0;2.0;3.0;2;2;2;2;2;1;2;3;1;2;3;1;3;4;1;4;2
12;2.0;2.0;1.0;1.0;1;2;2;2;2;1;2;2;1;2;3;2;2;3;1;3;2
13;2.0;2.0;1.0;1.0;1;2;1;2;2;2;1;1;1;2;1;5;2;3;1;3;1
51;2.0;1.0;1.0;1.0;1;2;2;2;2;2;2;2;1;2;2;1;2;3;5;3;2
51;-1.0;-1.0;-1.0;-1.0;1;2;1;2;1;2;1;2;1;2;3;2;3;4;5;3;1
12;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;1;2;1;1;2;3;2;3;4;1;2;2
25;2.0;2.0;1.0;1.0;1;2;1;97;1;2;1;3;2;1;3;1;1;3;2;4;2
25;2.0;2.0;1.0;1.0;1;2;1;2;2;1;1;2;1;1;1;1;1;4;2;4;2
13;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;1;2;3;2;2;3;1;1;3;1;4;2
27;1.0;2.0;1.0;1.0;1;1;1;1;2;2;1;1;1;1;5;1;2;4;2;2;1
13;1.0;2.0;1.0;1.0;1;2;2;1;1;1;1;3;1;2;3;2;2;4;1;5;3
27;2.0;1.0;1.0;1.0;1;2;1;2;1;2;2;2;1;2;3;1;2;3;2;2;1
51;2.0;1.0;2.0;1.0;1;2;1;1;1;2;1;2;1;2;3;2;2;4;5;1;1
42;1.0;1.0;2.0;3.0;2;2;2;2;1;1;2;3;1;2;1;5;3;4;4;5;2
14;2.0;2.0;1.0;2.0;2;2;1;2;2;1;2;2;1;1;1;4;1;4;1;1;2
25;2.0;2.0;1.0;2.0;1;1;1;1;1;2;1;2;1;2;1;5;2;4;2;3;1
12;2.0;2.0;1.0;1.0;1;2;1;1;1;1;2;3;1;2;3;2;1;1;1;4;2
12;-1.0;-1.0;-1.0;-1.0;1;2;2;2;1;1;2;2;1;2;3;1;2;1;1;4;2
35;1.0;1.0;1.0;1.0;1;2;1;1;2;2;1;2;2;2;3;3;2;2;3;4;3
12;-1.0;-1.0;-1.0;-1.0;1;2;1;97;1;2;1;2;1;1;3;1;1;3;1;3;3
13;7.0;1.0;2.0;3.0;2;2;97;2;2;1;2;3;1;2;5;1;1;4;1;4;3
13;7.0;2.0;1.0;1.0;1;2;1;2;1;2;1;2;1;2;2;1;3;4;1;3;1
51;4.0;1.0;1.0;1.0;1;1;1;1;2;2;1;1;1;1;3;5;1;4;5;5;1
13;2.0;2.0;1.0;1.0;1;2;1;1;1;2;1;1;1;1;3;1;1;4;1;5;1
12;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;2;2;2;3;1;2;5;1;1;1;1;2
42;2.0;2.0;1.0;1.0;1;1;1;1;2;2;1;1;1;2;1;1;2;4;4;4;1
51;-1.0;-1.0;-1.0;-1.0;1;2;1;2;1;1;1;97;97;2;1;1;1;1;5;4;2
14;-1.0;-1.0;-1.0;-1.0;1;2;1;1;2;1;2;3;1;1;5;1;97;2;1;4;2
14;2.0;1.0;1.0;1.0;1;2;1;97;1;2;1;2;2;2;3;1;2;3;1;3;3
14;3.0;2.0;1.0;1.0;1;2;2;1;1;2;1;1;1;1;4;2;1;4;1;1;3
13;2.0;97.0;2.0;1.0;1;2;1;2;1;97;1;1;1;2;3;1;97;1;1;5;2
25;7.0;1.0;1.0;1.0;1;97;1;1;2;2;1;1;1;2;3;5;1;1;2;5;1
25;-1.0;-1.0;-1.0;-1.0;2;2;1;2;1;1;1;2;2;1;3;1;2;4;2;2;2
51;-1.0;-1.0;-1.0;-1.0;1;2;2;2;1;1;2;3;1;1;3;2;2;2;5;2;2
25;-1.0;-1.0;-1.0;-1.0;1;2;2;2;1;2;2;3;1;2;1;1;2;3;2;5;2
51;7.0;1.0;1.0;1.0;1;1;1;97;1;2;1;1;1;1;2;4;97;4;5;1;1
51;1.0;1.0;2.0;1.0;1;2;1;1;1;2;1;2;1;2;1;5;3;3;5;4;1
12;-1.0;-1.0;-1.0;-1.0;97;2;2;2;2;1;2;3;1;2;3;2;2;1;1;4;2
35;7.0;1.0;1.0;1.0;1;1;2;97;2;2;1;2;1;1;1;1;2;4;3;4;3
12;1.0;2.0;1.0;2.0;1;2;1;2;2;2;1;2;2;1;1;2;1;2;1;1;2
35;2.0;2.0;2.0;1.0;2;2;2;2;1;1;2;3;1;2;1;1;1;4;3;5;2
27;-1.0;-1.0;-1.0;-1.0;1;2;2;2;1;1;2;1;1;2;3;1;1;4;2;1;2
51;7.0;2.0;2.0;1.0;1;2;2;97;97;1;2;3;1;1;5;2;97;4;5;4;2
14;3.0;1.0;2.0;1.0;1;2;2;1;1;2;1;2;2;1;5;1;2;3;1;1;3
14;2.0;1.0;1.0;97.0;1;2;2;2;1;1;2;3;2;2;4;2;3;4;1;1;2
25;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;1;2;1;2;2;1;1;2;2;3;1
14;-1.0;-1.0;-1.0;-1.0;2;2;1;1;2;2;1;1;3;1;1;5;1;2;1;1;2
51;1.0;1.0;1.0;1.0;1;2;2;2;1;1;2;2;1;2;2;2;2;4;5;3;2
12;2.0;1.0;1.0;1.0;1;2;2;2;2;1;2;3;1;2;1;2;1;3;1;4;2
25;2.0;2.0;1.0;1.0;1;2;2;2;1;2;2;3;2;1;1;2;1;3;2;3;2
14;1.0;1.0;1.0;1.0;1;2;1;1;2;1;1;1;2;1;3;2;1;4;1;1;3
51;-1.0;-1.0;-1.0;-1.0;1;2;2;97;2;2;2;2;2;1;2;2;1;2;5;3;2
14;2.0;2.0;1.0;1.0;1;2;1;2;2;1;2;3;2;1;3;2;1;2;1;1;2
12;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;1;3;1;1;3;5;1;2;1;1;2
42;1.0;1.0;2.0;1.0;1;2;2;2;1;1;2;3;1;1;1;1;2;4;4;3;2
25;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;1;2;1;1;3;2;2;4;2;3;3
51;3.0;2.0;1.0;2.0;1;2;1;2;1;2;1;1;2;1;1;2;2;4;5;1;3
27;3.0;2.0;1.0;1.0;2;2;1;2;1;2;1;3;1;1;3;2;1;1;2;3;2
42;1.0;2.0;1.0;1.0;2;2;2;1;1;2;2;2;1;1;3;1;2;2;4;1;2
13;2.0;2.0;2.0;1.0;1;2;2;2;1;1;2;3;2;2;3;2;1;4;1;5;2
12;1.0;2.0;1.0;1.0;1;2;2;2;2;2;2;3;1;1;3;2;1;3;1;2;2
12;1.0;1.0;2.0;3.0;2;2;2;2;1;1;2;2;1;2;3;1;3;4;1;5;2
42;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;1;1;1;1;1;1;1;1;4;1;3
14;2.0;1.0;1.0;1.0;1;2;2;1;1;2;2;2;2;1;1;2;1;3;1;2;2
25;2.0;2.0;1.0;1.0;2;2;1;2;2;1;2;2;1;2;3;2;3;4;2;3;2
13;2.0;1.0;1.0;1.0;1;2;1;1;1;2;1;1;1;2;3;1;2;4;1;3;1
42;-1.0;-1.0;-1.0;-1.0;1;1;1;97;97;1;97;2;1;2;3;2;2;2;4;3;1
35;-1.0;-1.0;-1.0;-1.0;1;2;2;97;1;2;2;2;97;1;4;1;1;4;3;4;3
25;3.0;1.0;2.0;1.0;1;1;2;1;1;1;2;2;3;2;3;1;3;4;2;3;2
14;-1.0;-1.0;-1.0;-1.0;97;2;1;2;1;2;2;2;97;2;5;1;1;1;1;2;2
13;4.0;1.0;1.0;1.0;1;2;1;1;2;2;1;2;1;1;3;1;1;4;1;1;1
27;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;2;1;2;1;1;2;1;2;4;2;2;2
13;-1.0;-1.0;-1.0;-1.0;2;2;2;2;1;1;2;3;1;1;3;1;2;4;1;3;2
13;97.0;1.0;1.0;1.0;1;2;97;2;2;2;1;2;97;1;1;2;1;1;1;5;1
27;1.0;2.0;1.0;1.0;1;2;2;2;1;1;2;2;1;2;3;3;1;4;2;2;3
51;3.0;1.0;1.0;3.0;1;2;2;1;1;1;2;3;1;2;3;1;1;3;5;4;1
14;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;2;1;2;3;2;1;2;2;4;1;1;2
42;-1.0;-1.0;-1.0;-1.0;2;2;97;2;2;2;97;1;1;2;5;1;97;1;4;5;1
12;-1.0;-1.0;-1.0;-1.0;1;2;2;2;2;1;2;3;1;2;1;2;1;4;1;4;2
25;-1.0;-1.0;-1.0;-1.0;97;2;97;97;2;2;2;97;1;2;1;1;1;1;2;4;1
14;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;97;1;2;1;1;3;2;1;1;1;3;2
12;2.0;1.0;1.0;1.0;1;1;1;1;1;2;1;2;1;2;1;1;3;4;1;1;3
12;-1.0;-1.0;-1.0;-1.0;2;2;1;1;1;1;1;3;2;2;2;1;97;1;1;4;2
51;1.0;2.0;1.0;1.0;2;2;2;2;1;1;2;3;1;2;2;1;2;3;5;3;2
27;2.0;2.0;1.0;1.0;1;2;1;1;1;2;2;2;3;2;1;2;2;1;2;1;2
13;-1.0;-1.0;-1.0;-1.0;1;2;2;97;1;1;2;3;1;2;1;1;1;3;1;4;2
13;1.0;2.0;1.0;3.0;2;1;1;2;1;2;2;3;3;1;1;2;97;3;1;1;1
25;-1.0;-1.0;-1.0;-1.0;1;1;1;1;1;2;2;2;1;2;1;1;1;1;2;3;2
51;2.0;2.0;1.0;1.0;1;2;1;1;1;1;1;1;1;2;3;1;2;4;5;2;1
25;-1.0;-1.0;-1.0;-1.0;1;97;1;1;97;2;1;97;1;1;1;1;2;3;2;5;2
27;1.0;2.0;2.0;3.0;1;2;2;2;1;2;1;2;3;2;3;5;2;3;2;2;3
12;3.0;1.0;1.0;1.0;2;2;1;1;1;2;1;2;1;1;3;2;1;4;1;2;1
13;2.0;2.0;1.0;1.0;1;1;1;2;2;2;1;1;1;2;3;2;2;3;1;4;1
13;1.0;1.0;1.0;1.0;1;2;2;1;1;2;2;2;1;2;3;2;1;1;1;3;3
13;3.0;1.0;1.0;1.0;1;2;1;2;1;1;2;2;3;1;3;2;1;3;1;2;1
51;4.0;2.0;2.0;2.0;1;1;1;2;2;2;1;1;1;2;3;2;3;4;5;3;3
51;3.0;1.0;1.0;1.0;1;2;1;1;2;2;2;2;1;2;3;2;2;1;5;3;2
42;97.0;1.0;2.0;2.0;2;2;2;2;1;1;2;2;1;2;97;99;3;3;4;5;2
14;7.0;1.0;2.0;3.0;1;2;2;2;2;1;2;3;1;2;3;2;1;4;1;3;2
13;-1.0;-1.0;-1.0;-1.0;1;2;1;1;1;2;1;1;1;2;3;1;1;1;1;2;1
27;1.0;2.0;1.0;2.0;1;1;1;2;1;1;2;2;1;1;3;2;1;2;2;1;2
51;1.0;1.0;2.0;1.0;2;2;1;1;1;1;1;2;1;2;3;5;2;3;5;2;3
25;1.0;2.0;1.0;3.0;1;97;1;1;1;2;1;1;1;2;5;1;1;2;2;3;1
25;4.0;2.0;1.0;1.0;1;2;2;2;1;2;2;3;1;2;2;2;1;2;2;4;2
51;2.0;1.0;1.0;1.0;2;1;1;1;2;2;1;2;1;2;3;1;97;3;5;4;1
14;2.0;2.0;2.0;1.0;1;2;2;97;2;1;2;3;1;2;1;1;1;1;1;5;2
14;1.0;1.0;1.0;1.0;1;2;1;2;1;2;1;2;2;2;3;2;2;3;1;1;2
42;2.0;2.0;1.0;1.0;1;2;1;1;2;2;2;2;1;1;3;2;1;4;4;4;2
27;-1.0;-1.0;-1.0;-1.0;97;1;1;1;2;1;1;2;1;1;3;5;97;4;2;2;3
12;1.0;2.0;2.0;1.0;1;2;1;2;2;2;1;1;1;1;1;1;3;4;1;4;3
13;3.0;1.0;1.0;1.0;2;2;2;2;2;2;2;3;1;2;3;2;2;3;1;3;2
51;2.0;1.0;2.0;1.0;2;2;1;2;1;1;2;3;2;2;1;5;2;3;5;1;2
51;1.0;1.0;1.0;3.0;1;2;1;2;1;2;2;1;1;1;3;2;1;2;5;3;1
25;4.0;1.0;1.0;1.0;1;2;1;2;2;2;1;2;1;1;3;1;2;4;2;4;1
13;1.0;2.0;1.0;1.0;1;2;97;2;2;1;2;3;3;2;3;2;1;3;1;1;2
51;7.0;1.0;1.0;1.0;1;2;97;97;2;2;1;2;1;2;2;2;2;4;5;4;1
13;2.0;2.0;1.0;1.0;1;2;1;1;2;2;1;1;1;1;3;5;2;4;1;4;1
25;-1.0;-1.0;-1.0;-1.0;97;2;2;2;1;2;1;2;1;1;3;2;1;1;2;2;1
25;3.0;1.0;1.0;1.0;1;97;1;1;97;2;1;2;1;1;3;2;1;3;2;3;1
43;1.0;2.0;1.0;1.0;1;2;2;1;1;2;1;2;2;2;3;2;1;3;4;1;3
27;2.0;2.0;1.0;1.0;1;2;1;2;2;2;1;2;1;2;2;1;2;4;2;3;3
51;-1.0;-1.0;-1.0;-1.0;1;2;1;2;2;97;2;2;1;1;2;2;1;3;5;5;2
12;-1.0;-1.0;-1.0;-1.0;1;2;1;1;2;1;2;2;1;2;4;4;2;3;1;4;2
35;3.0;2.0;2.0;2.0;1;2;2;2;1;2;1;2;3;2;1;2;3;4;3;2;2
